;fa_1;cl_1;cl_2;fl_1;wh_1;wh_2;fs_1;fs_2;eo_1;eo_2;hs_1;sb_1
AF;1;29.4;7.4;1.13;;;5000;83.4;high;;21.7;5.6
EG;1;7;19.6;0.626;;25.09;700;8.2;very high;0.608;12.8;13.21
AL;2;5.1;1.8;0.295;7.7;10.79;22000;0.2;high;0.728;9.8;0
DZ;2;5;19.6;0.626;;13.8;18000;1.5;;0.629;21.5;8.53
AD;;;1.8;;;;976;;;;0;
AO;1;23.4;22.4;0.638;;;9371;35.2;;0.64;24.9;
AG;;;7.3;;;;;;;;13.5;
GQ;0;27.8;22.4;0.295;;;129035;3.7;;;23.9;2.78
AR;3;4.4;7.3;0.404;28.4;15.42;3284;1;very low;0.732;14.9;0.9
AM;2;8.7;4.1;0.467;29.9;12.56;66138;1.3;high;0.677;9.6;8.8
AZ;1;6.5;4.1;0.467;10.6;;105;0.2;high;0.676;8.6;8.27
ET;1;27.4;22.4;0.414;41.2;33.2;420;12.6;high;0.656;16.4;3.17
AU;4;;7.4;0.018;20.4;13.12;2696;;;0.731;2;19.6
BS;4;;7.3;;;;693;0;;0.743;13.3;6.29
BH;1;4.6;2.9;0.467;;;300;;;0.632;8.3;
BD;3;4.3;7.4;0.951;;58.75;5300;41.5;very high;0.719;21.8;1.6
BB;4;1.9;7.3;0.212;;;;0;;0.75;13.7;
BE;4;;1.8;0.018;;4.04;1532;;very low;0.739;2.1;30.7
BZ;4;3.2;7.3;;;23.65;644;4.5;;0.692;16.8;
BJ;4;52.5;22.4;0.295;;27.23;31625;49.8;high;0.652;24.2;2.9
BT;;2.9;7.4;;;;3000;1.2;;0.638;31.9;0.1
BO;3;26.4;7.3;0.437;37.7;32.84;1440;5.5;low;0.758;19.6;1.9
BA;2;5.3;1.8;0.467;;9.45;;0;very low;0.702;12.4;17.45
BW;2;9;22.4;0.52;;33.72;780;7.4;;0.72;16.3;7.15
BR;3;6.6;7.3;0.078;;6.59;788;2.9;low;0.684;16.1;14.4
BN;;;7.4;0.805;;28.64;;0;;0.671;9.1;
BG;3;;6;0.404;6.5;0.79;420;;low;0.756;10.2;17
BF;3;39.2;22.4;0.638;;41.7;30684;36.2;high;0.646;25.1;3.6
BI;1;26.3;22.4;0.638;;;3467;74.9;;0.755;19.8;0.5
CL;4;6.6;7.3;0.154;;9.88;210000;0.8;;0.704;15.4;2.6
CN;1;;7.4;0.247;;;1400;3;;0.674;13.2;3.7
TW;3;;7.4;0.228;;;19047;;;;11.1;
CR;3;4.1;7.3;0.404;;27.61;203931;0.5;low;0.727;15.4;0
DK;4;;1.8;0.018;;5.3;;;;0.776;1.9;28.7
DE;4;;1.8;0.018;;5.6;1440;;;0.778;2.5;26.2
DM;;;7.3;;;;;;;;19.7;
DO;3;12.8;7.3;0.995;;20.15;9876;1.1;very low;0.697;15.9;4.82
DJ;;7.7;22.4;0.52;;;;;;;21;7.29
EC;3;4.9;7.3;0.404;;17.51;318;4.8;low;0.724;14.6;2
SV;2;8.9;7.3;0.295;;29.48;198;1.2;low;0.705;16.1;4.3
CI;2;;22.4;0.638;;45.1;60000;22.7;high;0.611;;1.95
ER;0;;22.4;0.674;;;;36.7;;;19.2;1.64
EE;4;;1.8;0.404;9.8;5.6;430;;;0.731;6.4;1.3
FJ;3;;7.4;;;;589;1.2;;0.638;19.5;2.2
FI;4;;1.8;0.123;9.7;5.16;;;;0.823;2.1;29.1
FR;4;;1.8;0.018;14.7;6.34;1467;;very low;0.778;3.2;33
GA;2;13.4;22.4;0.295;;;150000;4.4;very high;;23.5;
GM;2;;22.4;0.878;;46.63;1300;40.3;very high;0.649;24.9;
GE;2;4.2;4.1;0.467;12;;20;5.5;;0.679;8.9;8.22
GH;3;21.8;22.4;0.377;;23.49;141;8.6;high;0.695;23.6;5.39
GD;;;7.3;;;;;;;;16.1;
GR;4;;1.8;0.404;18.3;6.82;684;;;0.692;1.7;22
GT;2;25.8;7.3;0.845;28.5;32.73;2392;4.7;;0.667;19.8;4.39
GN;1;28.3;22.4;0.638;;;;36.7;high;0.659;24.6;2.47
GW;2;51.1;22.4;0.62;;;19030;60.7;;;24.9;5.44
GY;3;18.3;7.3;0.62;;;35000;1.8;;;17.4;8.18
HT;2;24.4;7.3;0.995;;;6500;34.5;;;17.4;
HN;2;14.1;7.3;0.295;32.3;;6532;10.6;;0.711;18.2;0.2
IN;3;11.8;7.4;1.4;;;2990;11.1;high;0.669;9.9;3
ID;2;6.9;7.4;0.286;51.2;24.99;1332400;6.3;;0.691;17.3;0
IQ;1;4.7;2.9;1.13;;;;8.3;high;;7.9;11.65
IR;1;11.4;7.4;0.626;;;3303000;0.1;;0.583;13.3;12.53
IE;4;;1.8;0.018;11.6;5.92;1546;;;0.794;4.4;21.6
IS;4;;1.8;0.123;;15.86;;;;0.878;3.1;17.8
IL;4;;4.1;0.14;25.5;13.27;4650;;;0.721;4.6;15.7
IT;4;;1.8;0.211;;4.18;;;very low;0.692;4.5;33.8
JM;3;3.3;7.3;0.212;;;21667;1.2;;0.717;15.8;4.42
JP;3;;7.4;0.228;17.7;20.41;823;;;0.657;3.2;18.2
YE;1;22.7;2.9;1.13;;23.99;;44.6;very high;0.516;13.9;5.9
JO;1;1.7;2.9;0.639;;;150;0.8;high;0.604;7;12.3
KH;1;19.3;7.4;1.648;;52.96;80;16.1;low;0.676;27.2;1.94
CM;1;47;22.4;0.626;;;32270;19.5;high;0.689;24.5;0.4
CA;;;5.3;0.018;10.6;7.68;1768;;;0.769;7.6;18.8
CV;3;6.4;22.4;0.453;;;;13.9;;0.686;22.9;
KZ;1;2.2;4.1;0.467;;3.14;18660;0;;0.713;8.1;6.38
QA;1;;2.9;1.356;;32.72;;0;;0.626;9.2;1.74
KE;2;25.9;22.4;0.41;;;13471;7.3;;0.694;19.3;1.6
KG;2;25.8;4.1;0.467;;8;690;1.8;;;9.1;9.58
KI;;;7.4;;;;;;;;26.1;
CO;1;7.8;7.3;0.639;;27.84;644350;3.3;;0.731;9.2;0.5
KM;;22;22.4;;;;55000;12.8;;;24.8;
CG;1;38.4;22.4;1.13;;23.23;36400;73.9;very high;;18.8;2.93
CG;3;23.3;22.4;0.638;;;;27.5;;;0;2.8
KR;0;;7.4;4.373;49.5;;;0;;;11.4;
KP;4;;7.4;0.404;;27.23;5580;53.3;;0.65;20.4;1.5
XK;2;;1.8;0.295;;16.82;;;;;;
HR;4;;1.8;0.404;11.9;4.42;3120;;;0.711;3.8;20.8
CU;0;;7.3;0.332;;2.59;225;0.5;very low;0.745;16.9;22.8
KW;1;;2.9;0.467;;;60;0;;0.628;5.9;11.44
LA;0;10;7.4;0.295;;32.1;626000;47.7;;0.703;27.7;0
LS;2;22.9;22.4;0.674;;;935;34.6;;0.695;16.6;
LV;4;;1.8;0.404;;1.75;370;;low;0.756;5;12.6
LB;2;1.9;2.9;0.626;;;500000;0.2;high;0.596;10.3;
